,following_link,username,timestamp
244,https://www.instagram.com/biblestoriesvideos,biblestoriesvideos,2023-08-19 11:37:17
243,https://www.instagram.com/dagi12d,dagi12d,2023-09-03 14:50:42
242,https://www.instagram.com/joel_jehu,joel_jehu,2023-09-10 02:43:55
241,https://www.instagram.com/chelina.music,chelina.music,2023-09-10 14:54:31
240,https://www.instagram.com/dawitmolalegn,dawitmolalegn,2023-09-14 18:14:39
239,https://www.instagram.com/starteasyappofficial,starteasyappofficial,2023-09-23 12:07:25
238,https://www.instagram.com/mahlet_lakew,mahlet_lakew,2023-09-30 14:37:14
237,https://www.instagram.com/undrevins,undrevins,2023-10-04 10:38:41
236,https://www.instagram.com/marakienglish,marakienglish,2023-10-04 10:58:11
235,https://www.instagram.com/dagem_addis,dagem_addis,2023-10-07 07:08:35
234,https://www.instagram.com/sifan_mk,sifan_mk,2023-10-07 11:31:55
233,https://www.instagram.com/eden_t.t,eden_t.t,2023-10-10 13:14:38
232,https://www.instagram.com/hana_tamereab,hana_tamereab,2023-10-13 16:59:14
231,https://www.instagram.com/vladhungrygen,vladhungrygen,2023-10-19 04:47:41
230,https://www.instagram.com/witnessing_miracles,witnessing_miracles,2023-10-23 10:35:23
229,https://www.instagram.com/rodneyhowardbrowne,rodneyhowardbrowne,2023-10-28 18:46:10
228,https://www.instagram.com/leyu_ai,leyu_ai,2023-10-30 18:01:08
227,https://www.instagram.com/tridentabroad,tridentabroad,2023-11-01 07:20:06
226,https://www.instagram.com/shakethenations,shakethenations,2023-11-01 11:23:23
225,https://www.instagram.com/evasue_58,evasue_58,2023-11-03 14:04:16
224,https://www.instagram.com/sajjaad.khader,sajjaad.khader,2023-11-11 11:02:21
223,https://www.instagram.com/jdshuttlesworth,jdshuttlesworth,2023-11-14 16:39:51
222,https://www.instagram.com/kalkidan8511,kalkidan8511,2023-11-15 17:06:38
221,https://www.instagram.com/hundaol92,hundaol92,2023-11-20 04:09:10
220,https://www.instagram.com/singer_ashe01,singer_ashe01,2023-11-20 13:33:38
219,https://www.instagram.com/yohannes.girma.johnny,yohannes.girma.johnny,2023-11-23 04:40:04
218,https://www.instagram.com/code.fighters,code.fighters,2023-11-28 13:11:55
217,https://www.instagram.com/gianfrancomartinezez,gianfrancomartinezez,2023-11-29 12:05:34
216,https://www.instagram.com/kal_edna,kal_edna,2023-12-01 18:29:17
215,https://www.instagram.com/awaqiethiopia,awaqiethiopia,2023-12-03 06:03:26
214,https://www.instagram.com/nasacademy,nasacademy,2023-12-08 10:11:44
213,https://www.instagram.com/handlytech,handlytech,2023-12-11 09:46:21
212,https://www.instagram.com/codecoolwithzainab,codecoolwithzainab,2023-12-11 10:45:49
211,https://www.instagram.com/meech_ward,meech_ward,2023-12-13 09:07:14
210,https://www.instagram.com/happy_coding_family,happy_coding_family,2023-12-13 09:08:51
209,https://www.instagram.com/empiricaltraining,empiricaltraining,2023-12-15 10:33:10
208,https://www.instagram.com/mataniahtedla,mataniahtedla,2023-12-25 06:20:02
207,https://www.instagram.com/aiventurespot,aiventurespot,2023-12-26 14:10:50
206,https://www.instagram.com/nocode.alex,nocode.alex,2023-12-26 14:16:43
205,https://www.instagram.com/afro.tech,afro.tech,2023-12-27 10:20:16
204,https://www.instagram.com/aau_6kilo_students_fellowship,aau_6kilo_students_fellowship,2023-12-27 11:01:42
203,https://www.instagram.com/edensamuel95,edensamuel95,2023-12-30 15:28:40
202,https://www.instagram.com/ezedinkamil,ezedinkamil,2024-01-01 17:53:26
201,https://www.instagram.com/sa_._mii,sa_._mii,2024-01-03 12:51:42
200,https://www.instagram.com/mita_helu,mita_helu,2024-01-03 19:27:57
199,https://www.instagram.com/pour_qua,pour_qua,2024-01-04 14:04:43
198,https://www.instagram.com/ankiyon_design,ankiyon_design,2024-01-06 11:44:22
197,https://www.instagram.com/thefuturishere,thefuturishere,2024-01-07 11:25:20
196,https://www.instagram.com/hormozi,hormozi,2024-01-07 11:25:26
195,https://www.instagram.com/naol35,naol35,2024-01-09 17:45:56
194,https://www.instagram.com/forbes,forbes,2024-01-11 18:40:38
193,https://www.instagram.com/kerim_d83,kerim_d83,2024-01-16 15:57:09
192,https://www.instagram.com/lil.khulman,lil.khulman,2024-01-19 18:25:51
191,https://www.instagram.com/gugutpodcast,gugutpodcast,2024-01-20 12:43:33
190,https://www.instagram.com/techexplorer__,techexplorer__,2024-01-20 18:04:13
189,https://www.instagram.com/surafel.solomon,surafel.solomon,2024-01-23 07:45:07
188,https://www.instagram.com/rehoboth_deb,rehoboth_deb,2024-01-25 04:09:27
187,https://www.instagram.com/chapa.et,chapa.et,2024-01-29 16:42:26
186,https://www.instagram.com/halwot.emmanuel,halwot.emmanuel,2024-01-30 05:06:53
185,https://www.instagram.com/deborah5_teferi,deborah5_teferi,2024-02-03 16:45:52
184,https://www.instagram.com/official_edenmulu,official_edenmulu,2024-02-07 18:30:13
183,https://www.instagram.com/career_gpt_,career_gpt_,2024-02-07 18:34:41
182,https://www.instagram.com/hadar.accentsway,hadar.accentsway,2024-02-15 09:09:20
181,https://www.instagram.com/paulchirstsintgospelchurch,paulchirstsintgospelchurch,2024-02-16 06:16:26
180,https://www.instagram.com/prince1mola,prince1mola,2024-02-21 17:41:56
179,https://www.instagram.com/femmedetech,femmedetech,2024-02-22 04:42:40
178,https://www.instagram.com/anasimos620217,anasimos620217,2024-02-24 13:43:44
